"Statistic Label","Employment Status","Sex","Broad Industrial Group","CensusYear","UNIT","VALUE"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Agriculture, forestry and fishing (A)","2011","Number","97473"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Agriculture, forestry and fishing (A)","2016","Number","93104"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Mining and quarrying (B)","2011","Number","6534"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Mining and quarrying (B)","2016","Number","5603"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Manufacturing (C)","2011","Number","218205"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Manufacturing (C)","2016","Number","218626"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2011","Number","12071"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2016","Number","13431"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Water supply; sewerage, waste management and remediation activities (E)","2011","Number","10579"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Water supply; sewerage, waste management and remediation activities (E)","2016","Number","11063"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Construction (F)","2011","Number","154067"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Construction (F)","2016","Number","124205"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2011","Number","300794"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2016","Number","291970"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Transportation and storage (H)","2011","Number","87736"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Transportation and storage (H)","2016","Number","86194"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Accommodation and food service activities (I)","2011","Number","121670"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Accommodation and food service activities (I)","2016","Number","129402"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Information and communication (J)","2011","Number","75290"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Information and communication (J)","2016","Number","95054"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Financial and insurance activities (K)","2011","Number","97972"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Financial and insurance activities (K)","2016","Number","94910"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Real estate activities (L)","2011","Number","9274"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Real estate activities (L)","2016","Number","9480"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Professional, scientific and technical activities (M)","2011","Number","103289"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Professional, scientific and technical activities (M)","2016","Number","118928"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Administrative and support service activities (N)","2011","Number","72328"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Administrative and support service activities (N)","2016","Number","78230"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Public administration and defence; compulsory social security (O)","2011","Number","117200"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Public administration and defence; compulsory social security (O)","2016","Number","108820"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Education (P)","2011","Number","176349"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Education (P)","2016","Number","183980"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Human health and social work activities (Q)","2011","Number","206159"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Human health and social work activities (Q)","2016","Number","231218"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Arts, entertainment and recreation (R)","2011","Number","34746"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Arts, entertainment and recreation (R)","2016","Number","37104"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Other service activities (S)","2011","Number","44477"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Other service activities (S)","2016","Number","46259"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Activities of households as employers producing activities of households for own use (T)","2011","Number","2200"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Activities of households as employers producing activities of households for own use (T)","2016","Number","3027"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Activities of extraterritorial organisations and bodies (U)","2011","Number","866"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Activities of extraterritorial organisations and bodies (U)","2016","Number","910"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Industry not stated","2011","Number","248758"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Industry not stated","2016","Number","291085"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Total persons","2011","Number","2198037"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Both sexes","Total persons","2016","Number","2272603"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Agriculture, forestry and fishing (A)","2011","Number","85493"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Agriculture, forestry and fishing (A)","2016","Number","81955"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Mining and quarrying (B)","2011","Number","5874"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Mining and quarrying (B)","2016","Number","4966"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Manufacturing (C)","2011","Number","151390"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Manufacturing (C)","2016","Number","152088"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Electricity, gas, steam and air conditioning supply (D)","2011","Number","9179"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Electricity, gas, steam and air conditioning supply (D)","2016","Number","10154"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Water supply; sewerage, waste management and remediation activities (E)","2011","Number","8688"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Water supply; sewerage, waste management and remediation activities (E)","2016","Number","8948"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Construction (F)","2011","Number","144801"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Construction (F)","2016","Number","116253"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2011","Number","155331"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2016","Number","152659"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Transportation and storage (H)","2011","Number","70691"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Transportation and storage (H)","2016","Number","68101"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Accommodation and food service activities (I)","2011","Number","56244"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Accommodation and food service activities (I)","2016","Number","60818"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Information and communication (J)","2011","Number","50055"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Information and communication (J)","2016","Number","64089"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Financial and insurance activities (K)","2011","Number","43087"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Financial and insurance activities (K)","2016","Number","44695"
